Name,Team,PA,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Christian Walker","ARI",552,94.49475065616798,,89.90146771599265,86.6209347747093,83.55000305175781,93.50874103483606,85.00986190580986,79.89662294130068,82.02499728732639,,85.07621489537445,,77.14285714285714,"Christian Walker",13419,572233
"Christian Yelich","MIL",315,94.73090503246753,,89.87687340561224,85.96326929209184,,92.8648818597561,85.1528384279476,79.88709677419355,81.66764562270221,,86.38413008432539,,,"Christian Yelich",11477,592885
"Christopher Morel","- - -",611,94.74035518685567,,90.08402482433432,86.28604977629905,,93.68399253190255,84.88962640977444,79.26797066482843,83.58095441545758,,85.7340324361911,,,"Christopher Morel",21897,666624
"Chuckie Robinson","CHW",76,93.99326281601124,,89.74615009014423,85.36000366210938,,93.29333333333334,83.1096397307982,76.31110975477431,84.0999984741211,,83.30869459069294,,,"Chuckie Robinson",19824,642020
"CJ Abrams","WSN",602,94.36941046463816,,89.17430276710894,86.26605504587155,,92.80686800373134,84.56513788595618,79.65115567396313,81.73043690557066,,86.10193201013513,,78.83333333333333,"CJ Abrams",25768,682928
"Cody Bellinger","CHC",569,94.75804746240601,,89.58631784539473,86.23103560524426,,93.14551083591331,84.2777533567775,79.32514391447368,80.49749755859375,,86.56064633969908,,,"Cody Bellinger",15998,641355
"Cole Tucker","LAA",57,93.97438905297255,,89.56923264723558,85.35000610351562,,93.55249633789063,84.76086956521739,79.78095354352679,82.67500305175781,,85.09999749599359,,,"Cole Tucker",17326,657061
"Colt Keith","DET",556,94.06850260416667,,90.22287441821808,86.83671009691456,,92.75210084033614,84.6413881748072,79.22121212121212,82.02941176470588,50,85.6735112272351,80.0999984741211,,"Colt Keith",27899,690993
"Colton Cowser","BAL",561,94.33419545143639,,90.24050632911393,85.31020806760205,,93.37878064710611,84.24620482819905,79.01555447048611,80.72142682756696,,86.89831095950704,,,"Colton Cowser",29591,681297
"Connor Joe","PIT",416,94.42997588087249,,90.0258080267137,86.63636363636364,,93.25551589439655,84.70643857758621,80.07315176504629,82.66363340435606,,84.77789947341161,,,"Connor Joe",16572,656582
"Connor Norby","- - -",194,94.12314170648244,,88.54807692307692,85.82174019191577,,93.62105627227248,84.77499787703805,79.16666463216146,81.89444647894965,,85.65999661959134,82.69999694824219,,"Connor Norby",29592,681393
"Connor Wong","BOS",487,94.37783203125,,89.6472602739726,87.15714518229167,,93.36044890474277,84.35162609011628,79.76761532738095,82.07999674479167,55.04999923706055,85.84559180699482,,,"Connor Wong",19896,657136
"Corbin Carroll","ARI",684,94.41170095755693,,90.07333519345238,86.48823098575367,,93.22407670454545,84.65938305412371,79.8508129222973,82.04594462626689,50.633331298828125,86.1256015625,79.80000305175781,77.775,"Corbin Carroll",25878,682998
"Corey Julks","CHW",189,94.11458892167381,,90.63191904920212,84.8153827373798,,92.98139989098837,83.92819148936171,78.35227272727273,81.21817848899148,,83.72451363357843,,,"Corey Julks",20311,667452
"Corey Seager","TEX",533,94.45602371828753,,90.15128205128205,86.48222113715278,,93.56702898550725,84.79057459677419,79.56456846702756,80.87647202435662,,85.96861456432482,,,"Corey Seager",13624,608369
"Cristian Pache","- - -",183,93.79640161132812,,88.02894672594573,85.125,79.89999389648438,93.28382065716912,84.8022066004136,79.7745754435911,84.0999984741211,,84.92772228883045,,80,"Cristian Pache",19948,665506
"Curt Casali","SFG",125,93.83138971259125,,87.50967899445564,82.97777642144098,,93.19130010190217,83.56319173177083,78.69444444444444,83.4300048828125,,84.73714425223214,,,"Curt Casali",12510,592200
"Curtis Mead","TBR",132,93.83386134350394,,89.12631707442434,,,92.7426817358994,84.46569200501825,79.37187957763672,79.75,,85.05000305175781,,59.5,"Curtis Mead",23986,678554
"Dairon Blanco","KCR",132,94.11453601925872,,91.747998046875,85.69999767485119,,93.46621621621621,85.52209188771802,79.25,86.5999984741211,,84.59193863407258,,,"Dairon Blanco",19779,680118
"Dane Myers","MIA",108,93.8565231544384,,88.87778049045139,90.33333333333333,,94.07432432432432,84.12900390625,77.55357142857143,,,85.25,,,"Dane Myers",22054,667472
