Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Robbie Ray","SFG",30.2,108.23839464882944,,,,93.82274725274725,,,108.16141176470589,,103.6737699115044,87.90237168141594,90.99150442477875,"Robbie Ray",11486,592662
"Adrian Houser","NYM",69.1,81.53039340776185,96.14140301050838,,,85.36097000245881,74.39553287981859,86.20641522988507,,,88.663725021869,100.91431958663901,90.96598826075792,"Adrian Houser",12718,605288
"Jordan Leasure","CHW",31.1,97.66805970149254,,,,98.7686956521739,98.388125,,,,98.05341681574238,91.52393559928448,90.90669051878352,"Jordan Leasure",29950,673929
"Jared Shuster","CHW",73.1,79.76772727272726,87.33000000000001,,,90.47438692098095,,84.31440633245381,,,84.48201750481516,103.09944233687924,90.78504138677333,"Jared Shuster",27472,694363
"Kyle Harrison","SFG",124.1,88.61353923205343,,,,96.10000000000001,90.23601642710473,87.06580487804877,,,88.70250602409638,102.6170795180723,90.78371084337348,"Kyle Harrison",27758,690986
"Andrew Abbott","CIN",138,88.42536429143314,,,,124.06640973630833,88.71837037037035,88.31501312335958,,,94.79763237193286,96.76039603960399,90.6908222126561,"Andrew Abbott",29911,671096
"Quinn Priester","- - -",49.2,80.62034188034188,93.508,,,94.47911504424778,91.25796610169492,80.93409523809524,,,89.95782579307253,99.77718257439231,90.623581869918,"Quinn Priester",25977,682990
"Matthew Boyd","CLE",39.2,86.32750000000001,91.37794117647059,,,104.8644827586207,101.18518518518519,87.00297142857143,,,91.44655688622753,102.9656886227545,90.485,"Matthew Boyd",15440,571510
"Jake Diekman","NYM",32,100.04190735694824,39.6,,,113.58095238095238,,84.79263157894738,,,102.30091525423727,92.65644067796607,90.4310847457627,"Jake Diekman",5003,518617
"Yariel Rodríguez","TOR",86.2,87.83043902439026,88.71271604938272,,99.25777777777778,105.9104245283019,92.78292993630573,,,,94.64314457028647,92.95762824783475,90.40158560959367,"Yariel Rodriguez",33838,684320
"Erik Swanson","TOR",39.1,83.36576576576576,,,111.28757281553398,84.55906249999998,,,,,92.21593373493975,97.7114156626506,90.39210843373499,"Erik Swanson",16587,657024
"Jose Quintana","NYM",170.1,86.44987301587301,91.80301568154405,,,,95.27292861907941,85.01890566037737,,,88.70363103953144,98.6908418740849,90.3661713030747,"Jose Quintana",11423,500779
"Hogan Harris","OAK",72.1,95.75847730600293,,,,89.82542857142857,95.58431578947369,97.73219999999999,,,95.39029620502166,96.0180932691996,90.36528773068292,"Hogan Harris",21520,663687
"Angel Chivilli","COL",31.2,,69.84850467289719,,,104.32148936170213,,90.26458536585365,,,84.33079922027287,102.74506822612086,90.23840155945422,"Angel Chivilli",26790,683409
"Brady Singer","KCR",179.2,84.2011343283582,87.58001631321369,,,96.26504143044045,,68.74436363636364,,,89.0343870314083,99.4722661263087,90.15521783181353,"Brady Singer",25377,663903
"DL Hall","MIL",43,82.12192090395479,,,,100.62964285714285,89.22692307692307,87.048125,,,87.22194224579601,101.91560340924991,90.06736427164205,"DL Hall",22207,669084
"Emerson Hancock","SEA",60.2,83.1289425981873,89.28079470198675,,,95.98419161676647,,85.5051401869159,,,87.5901480750247,101.0157749259625,90.0528134254689,"Emerson Hancock",27470,676106
"Yonny Chirinos","MIA",30,78.07176470588236,95.10183006535948,,100.3242105263158,107.1410945273632,,,,,97.7605436893204,95.30784466019419,90.01328155339803,"Yonny Chirinos",16401,630023
"José Suarez","LAA",52.1,99.92984771573605,93.81218390804597,100.864,,108.54654355225783,93.64,95.87622950819673,,,100.33516973395317,88.03061378828436,90.00382243628609,"Jose Suarez",19911,660761
"Chris Stratton","KCR",58.1,87.5430971128609,94.81793103448275,,,90.48562211981569,100.93181818181813,88.7581818181818,,,91.95373615307152,95.21510574018129,89.97013091641493,"Chris Stratton",13761,608717
"DJ Herz","WSN",88.2,98.49427906976744,,,,100.066338028169,,101.40570694087404,86.42603773584904,,99.06583227445994,92.4218297331639,89.91912325285898,"DJ Herz",26389,687792
"Luis Medina","OAK",40,87.73633986928105,112.44485436893206,,,109.07502762430939,119.40383561643837,98.6540350877193,,,100.69810848400557,89.87557719054242,89.77646731571627,"Luis Medina",21649,665622
"Julian Aguiar","CIN",31.2,,74.75328671328671,,,124.83347368421052,94.56040816326531,75.98179999999999,,,85.722797731569,105.21765595463138,89.7527032136106,"Julian Aguiar",30031,687924
"Alec Marsh","KCR",129,90.73937421777222,96.4123745819398,,,105.28259272930332,100.66816901408453,85.42212962962961,,,95.14329955135348,95.71621804614092,89.72420194956143,"Alec Marsh",27451,679525
"Carson Fulmer","LAA",86.2,96.84203488372094,91.70108882521491,,,92.8858858858859,88.87951219512196,81.56901763224181,,,90.05109581275661,95.4264726298658,89.68956288548127,"Carson Fulmer",18311,608334
"Roansy Contreras","- - -",68.1,90.88499999999999,94.0748623853211,,,104.4833171795696,90.20554455445544,85.27292035398231,,,94.84772175802884,93.7133487139462,89.61947831985782,"Roansy Contreras",22810,672710
"Andrew Chafin","- - -",56.1,85.14756211180124,93.36360686511131,,,108.36424151874888,,,,,98.87406328229225,87.20287340589817,89.60060392164584,"Andrew Chafin",12988,605177
