Name,Team,IP,botCmd FA,botCmd SI,botCmd FC,botCmd FS,botCmd SL,botCmd CU,botCmd CH,botCmd KC,botOvr,botStf,botCmd,botxRV100,botERA,NameASCII,PlayerId,MLBAMID
"Dane Dunning","TEX",95,49.197925625,53.52144143081762,54.14662468553458,,41.1671828030303,,45.86499227488151,25.2199382278481,42.25577682060391,41.04784413262285,49.09785210775607,0.6065304795737122,4.986888738898756,"Dane Dunning",19409,641540
"Génesis Cabrera","TOR",62.2,53.934908556149736,35.94920272727273,32.590700526315786,,,44.8347990909091,29.926383974358977,,42.38559857423797,46.827611789577176,33.02634136676499,0.5984651819075713,4.9747903343166175,"Genesis Cabrera",17490,650893
"Pedro Avila","- - -",82.2,43.208478471223025,39.29162850841135,,,35.99231385346756,45.1336907017544,48.824219262820506,,42.48607932536894,44.157059374560795,40.608067505270554,0.5922225368938862,4.965426423049895,"Pedro Avila",18864,658648
"Martín Pérez","- - -",135,34.26312732758622,55.31132409378961,55.88223558521561,,72.12443,55.90288206451613,57.458376526946104,,42.80099519474638,31.33449205615942,57.69340610960145,0.5726588677536232,4.93608071557971,"Martin Perez",6902,527048
"Edward Cabrera","MIA",96.1,37.70272103157894,37.84185561290322,,,46.20280479729729,53.28272396276594,51.77874377391304,,42.811720334486736,56.45211728950403,42.53229756055363,0.571992306805075,4.9350809688581325,"Edward Cabrera",21690,665795
"Logan Allen","CLE",97.1,52.961675496277905,,50.457710370370364,,44.652444967948725,,40.60038842105262,,42.931790792792796,41.896151987988,47.86151508108109,0.5645314714714715,4.92389009009009,"Logan Allen",27589,671106
"Tayler Scott","HOU",68.2,46.18130457679702,33.17840970588235,,44.9431825,47.7531402255639,,,,42.98903100498339,46.53482216777408,43.63694702657807,0.5609761627906977,4.918556835548172,"Tayler Scott",13652,605463
"Shawn Dubin","HOU",45.1,47.31589360148046,,42.8313194651847,,20,35.105971926551454,50.54931390700849,,43.092891048689154,56.55256066348984,38.82280018128009,0.5545248277822366,4.908879631587748,"Shawn Dubin",24977,681869
"Michael Soroka","CHW",79.2,46.875922499999994,43.408213986928104,,,48.49707218216319,,28.60339407142857,,43.14855384615384,47.91493728343727,44.08645534303535,0.5510646846846847,4.903689078309078,"Michael Soroka",18383,647336
"Jordan Weems","WSN",41.2,40.67645015521064,,,,56.14225847656249,30.631808000000007,,,43.16886470027248,46.79946660762942,45.64768884196185,0.5498042370572208,4.901799114441417,"Jordan Weems",13190,607179
"Jonathan Hernández","- - -",43.1,,27.273269932432427,,,50.997550213333334,,50.81532766666667,,43.2061855570118,54.26094638269988,39.446435923984275,0.5474844823066842,4.898318885976408,"Jonathan Hernandez",17464,642546
"Jesse Chavez","ATL",63.1,,56.801613629893225,41.95463474671671,,60.49369500000001,21.491757671232875,50.17987664285715,,43.25832536842104,37.02122985645932,45.07337581818183,0.5442458755980861,4.893461224880381,"Jesse Chavez",5448,445926
"Reed Garrett","NYM",57.1,42.89615782608696,22.04640717948718,58.57728147826087,33.5265927027027,49.58392936842106,,,,43.28068951731374,59.87623364113327,36.853680598111225,0.5428573767051418,4.891378457502624,"Reed Garrett",16866,657585
"Yuki Matsui","SDP",62.2,53.75418879350349,,,38.346966770428025,43.592082735042744,20,,,43.368056581196576,46.46324282051281,42.76550592592589,0.5374296866096866,4.883236552706552,"Yuki Matsui",33826,673513
"Tommy Henry","ARI",38.1,59.30232974874372,48.52236088000001,,,32.58503,60.07241926829269,42.89484,,43.43727194050991,35.26769259206799,52.06550042492918,0.5331296600566572,4.876786543909348,"Tommy Henry",26285,674072
"Scott Alexander","OAK",38.2,,42.326727397260285,,,41.61176492187499,,37.45101287671233,,43.438197323943676,39.74307790492958,41.00079640845072,0.5330719366197185,4.8767006161971835,"Scott Alexander",10591,518397
"Clayton Kershaw","LAD",30,53.31640728813559,,,20,61.73775463636364,41.17001987804877,36.11541181818182,,43.443400972222214,36.925621428571425,53.84615829365079,0.5327469047619048,4.876213392857141,"Clayton Kershaw",2036,477132
"Carson Fulmer","LAA",86.2,55.70164676279906,48.25330223495702,,,49.57154433333333,57.34338085365854,50.17807385390428,,43.47712734735415,45.6567084192673,50.51089982360922,0.5306517164179104,4.873070135685211,"Carson Fulmer",18311,608334
"Kyle Gibson","STL",169.2,33.1216399726776,46.99715639726027,45.72738780445968,,50.81467189141856,52.786178033472794,45.361870072727264,,43.54900976483358,46.254750629522434,45.61562562228654,0.5261877460202605,4.866375144717801,"Kyle Gibson",10123,502043
"Jared Shuster","CHW",73.1,49.79193891181164,54.98547587606838,,,55.347795411164675,,49.497774305733806,,43.56103678577174,39.19679254596707,51.306039882667385,0.5254401525046091,4.8652528300553115,"Jared Shuster",27472,694363
"Brent Honeywell","- - -",37.2,43.37723013157895,46.282021111111106,,,64.3376485915493,,61.26108666666667,,43.59954403361345,34.035395613445374,54.231113865546234,0.523048,4.861665226890757,"Brent Honeywell",16466,641703
"Joey Cantillo","CLE",38.2,41.02177371757925,,,,60.3358505,63.2853737962963,35.912948622448994,,43.892637201125176,50.93448604781997,39.94305558368495,0.5048373699015472,4.834348551336145,"Joey Cantillo",23335,676282
"Justin Verlander","HOU",90.1,49.271763680104044,,,,57.536409213114744,54.17538985549132,49.60735418750001,,43.991281018987344,38.921491208860765,51.297202936708864,0.49870934177215187,4.825156082278481,"Justin Verlander",8700,434378
"Kyle Harrison","SFG",124.1,54.0048138397329,,,,62.35966,49.84126353448276,43.79442309756097,,44.07319964870068,38.257072492781525,48.97966142444659,0.49362129932627535,4.8175245813282,"Kyle Harrison",27758,690986
"Nick Anderson","KCR",35.2,45.466469999999994,61.518145106382974,,,,54.03774704980844,21.612608666666667,,44.22887491289198,29.93794331010453,50.400516707317074,0.48394871080139384,4.803015836236935,"Nick Anderson",18337,623433
"Ben Lively","CLE",151,48.109723888888894,55.699641592539464,,,46.3407065648855,49.500357914691946,60.94872655963303,,44.27750935242838,27.664340630967207,53.98493430469074,0.4809288210875882,4.798485570776256,"Ben Lively",14932,594902
"Quinn Priester","- - -",49.2,57.13889752136752,51.59218473469387,,,53.70356168141594,45.19179847457627,42.018683904761915,,44.33554288532676,38.42234008631319,50.524689013563496,0.47732340320591865,4.793076547472256,"Quinn Priester",25977,682990
"Tanner Rainey","WSN",51,56.785585780780785,,,,21.184818461538462,,20,,44.58520650692226,49.777362140575065,46.67393138445154,0.46181263045793414,4.769811267305646,"Tanner Rainey",17610,663432
"Julian Aguiar","CIN",31.2,,59.990058916083925,,,44.35211021052631,30.67992326530612,37.6898407,,44.63301512241055,38.965516214689266,51.44073854990584,0.4588415065913371,4.765354237288134,"Julian Aguiar",30031,687924
"Alex Wood","OAK",39.1,,55.533741117478506,,,41.04146344537815,,58.0567699408284,,44.68005763227513,42.23929900793651,54.14646722222222,0.45592019841269843,4.760972076719577,"Alex Wood",13781,622072
"Carlos Carrasco","CLE",103.2,46.00421552272727,44.00534089285714,,,55.07599491489363,38.465846140350884,54.840756735218505,,44.70697419964559,44.080046822209084,49.09316099232132,0.454247678676905,4.758463284111046,"Carlos Carrasco",6632,471911
"Robbie Ray","SFG",30.2,44.71232237458194,,,,49.271934945054944,,,38.88740164705882,44.80199559859155,50.09442785211268,43.32864132042254,0.44834434859154926,4.749607447183099,"Robbie Ray",11486,592662
"Bobby Miller","LAD",56,45.99243017543859,38.95519573426574,,,44.195975049504945,56.5965907,33.176585190476196,,44.87007360531309,58.66212746679316,40.59694915559772,0.44411460151802656,4.74326444971537,"Bobby Miller",27483,676272
"Adam Oller","MIA",42.1,49.036905178082186,,,,80,48.980296643598614,33.2102736,,44.88630700421941,47.389375203938116,44.77875843881856,0.4431058509142054,4.741752573839663,"Adam Oller",20132,670124
"Cristian Javier","HOU",34.2,30.73505308035714,,,,43.70955220238095,,62.40400359477125,46.7781376,44.93853628721541,50.01409350262697,41.857566514886166,0.4398632574430823,4.736888283712784,"Cristian Javier",17606,664299
"Chris Stratton","KCR",58.1,46.793756220472446,49.71145804597701,,,49.49301538461539,45.81649604545456,58.155485050505035,,44.94716623115579,44.07109839195981,46.81673557788944,0.43932432160804014,4.736079085427136,"Chris Stratton",13761,608717
"Derek Law","WSN",90,45.85538136612021,43.95056134328355,37.171908667953666,,57.90428270072992,32.18089541666666,56.98191147058824,,45.024141013858504,40.23818434719183,43.52940566739605,0.4345423121808899,4.728905601750548,"Derek Law",13133,571882
"Max Meyer","MIA",57,47.64026488188976,32.34616625,,,51.308641776649736,,39.94744630057804,,45.21053654958677,58.576266787190086,46.00118614669422,0.4229632231404959,4.711537551652893,"Max Meyer",27474,676974
"José Suarez","LAA",52.1,41.441184923857875,42.15128149425287,50.34556272727273,,43.275332642276425,20,33.65320594262295,,45.24294343434344,51.28914870707071,36.54043527272728,0.4209495656565657,4.708515272727272,"Jose Suarez",19911,660761
"Joey Wentz","- - -",67.1,52.011734754464285,,40.4932765625,,20,47.034624779874214,38.77589440170941,,45.263122579591844,51.388458677551014,40.943089746938774,0.419695918367347,4.70663589387755,"Joey Wentz",19962,666214
"José Ureña","TEX",109,43.43292218790218,48.30307566860965,,,50.05064914838905,,46.70458146960487,,45.32915077881801,47.56112127491123,48.83726141760061,0.4155929319815926,4.700482221466761,"Jose Urena",11589,570632
"Marco Gonzales","PIT",33.2,50.94512202453989,59.44807579999999,44.508250277777776,,,56.53082673076922,64.27144371681416,,45.42792514403292,36.07295639917695,55.29023489711934,0.409458950617284,4.691280905349794,"Marco Gonzales",15467,594835
"Jordan Montgomery","ARI",117,44.427600748503,45.49768161344538,,,38.5432402,48.730835362563234,54.5006870241287,,45.52271128165374,42.94946166925065,45.83311318863049,0.40356792764857874,4.682443979328165,"Jordan Montgomery",16511,656756
"Sam Long","KCR",42.2,55.74953070370369,,,33.539193666666655,48.677051342592584,43.60933403846155,,,45.75379146306819,47.52144022727273,46.39597099431819,0.3892126988636363,4.660911747159091,"Sam Long",25379,669674
"Roansy Contreras","- - -",68.1,53.071785420792075,43.02654848837209,,,51.630877011494256,51.92989277227722,36.21278938053097,,45.79877699721964,45.99564782205747,49.23272774791474,0.38641735866543103,4.656718962001853,"Roansy Contreras",22810,672710
"Erik Swanson","TOR",39.1,45.41834536585366,,,54.49746519607844,48.03756563492062,,,,45.79979983282675,45.88732702127662,46.21537457446807,0.38635422492401217,4.656623875379941,"Erik Swanson",16587,657024
"Ryan Fernandez","STL",66.2,36.76290368421053,42.02740133333334,47.573636557377064,,55.43591347294937,,,,45.8080032523051,50.025561542330266,50.049879731768655,0.3858444761106452,4.655859195305951,"Ryan Fernandez",24862,681676
"Nick Sandlin","CLE",57.2,43.98569804054055,29.56602913043479,,48.863252518797005,44.55167318051576,,,,46.0949941932271,57.47315170318725,40.1682655876494,0.3680151693227093,4.629113994023905,"Nick Sandlin",20517,680704
"Rhett Lowder","CIN",30.2,28.91414007352941,57.81249573643411,,,57.729472132352946,,63.08790350515464,,46.159472168674704,43.764885883534134,53.53758514056224,0.3640090361445783,4.623106867469879,"Rhett Lowder",33876,695076
"DJ Herz","WSN",88.2,48.713542895348844,,,,47.53865855633803,,47.036919357326475,47.713917826086956,46.21332724637681,52.42539389413989,45.313516477630756,0.36066308758664145,4.618087013232516,"DJ Herz",26389,687792
"Andre Pallante","STL",121.1,42.618042782258065,41.55138285326087,,,58.54416492492493,,,38.07571463114754,46.29894028268552,46.726065254921764,43.1492821706209,0.35534433619384154,4.61011035335689,"Andre Pallante",26108,669467
"Will Smith","KCR",41.1,53.95016389743591,,,,52.983857740863776,59.58179670886075,54.32129721649484,,46.306510430906386,41.978211738484404,54.0369943833581,0.35487353640416064,4.609403031203566,"Will Smith",8048,519293
"Landon Knack","LAD",69,55.429075845864666,,,,58.278158787878795,39.989760483870974,35.33753065868263,,46.360867267188866,44.384452489120974,48.74301704090514,0.3514968668407311,4.604336744995648,"Landon Knack",27487,689017
