Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Juan Soto","NYY",0.21299435,0.60084034,0.36891892,0.67374005,0.86433566,0.7985348,0.40202703,0.54137447,0.07409902,0.1886157,0.26271472,"Juan Soto",20123,665742
"MJ Melendez","KCR",0.33022388,0.79042691,0.52303523,0.63841808,0.79378069,0.73678756,0.41897019,0.63192905,0.13766938,0.12466125,0.26233062,"MJ Melendez",22197,669004
"Carlos Santana","MIN",0.27017544,0.667001,0.43352601,0.67012987,0.85413534,0.78666667,0.41164327,0.56565657,0.09240924,0.16955446,0.2619637,"Carlos Santana",2396,467793
"Drew Millas","WSN",0.30718954,0.67676768,0.45238095,0.63829787,0.89552239,0.78947368,0.39285714,0.69354839,0.0952381,0.16666667,0.26190476,"Drew Millas",25643,686452
"Nick Castellanos","PHI",0.40775988,0.82106339,0.58020478,0.53500898,0.85429639,0.72352941,0.41723549,0.69802731,0.16006811,0.10131971,0.26138782,"Nick Castellanos",11737,592206
"César Salazar","HOU",0.33333333,0.75,0.51351351,0.76190476,0.77777778,0.77192982,0.43243243,0.6875,0.11711712,0.14414414,0.26126126,"Cesar Salazar",21587,663967
"Tommy Edman","LAD",0.284375,0.68825911,0.46031746,0.62637363,0.86470588,0.7816092,0.4356261,0.60784314,0.1005291,0.16049383,0.26102293,"Tommy Edman",19470,669242
"Kevin Newman","ARI",0.32094595,0.69246862,0.48691589,0.70526316,0.92145015,0.84261036,0.44672897,0.63022508,0.07663551,0.18411215,0.26074766,"Kevin Newman",17696,621028
"Ryan Vilade","DET",0.4,0.72727273,0.55319149,0.7,0.828125,0.77884615,0.46808511,0.67346939,0.12234043,0.13829787,0.2606383,"Ryan Vilade",22165,668723
"Cody Bellinger","CHC",0.35119048,0.6890849,0.49831973,0.69975787,0.864,0.79865125,0.43542967,0.58347979,0.10028791,0.16026871,0.26055662,"Cody Bellinger",15998,641355
"José Azocar","SDP",0.51428571,0.77586207,0.6185567,0.6,0.86666667,0.73333333,0.39862543,0.64556962,0.16438356,0.09589041,0.26027397,"Jose Azocar",18821,640492
"Brooks Lee","MIN",0.38309859,0.71428571,0.5228013,0.68382353,0.90810811,0.81308411,0.4218241,0.60540541,0.09756098,0.16260163,0.2601626,"Brooks Lee",31595,686797
"Jung Hoo Lee","SFG",0.31023102,0.57894737,0.43585237,0.85106383,0.95454545,0.91532258,0.46748682,0.61392405,0.03690685,0.22319859,0.26010545,"Jung Hoo Lee",33824,808982
"Ramón Urías","BAL",0.30652504,0.75102041,0.49608355,0.64356436,0.81793478,0.75614035,0.42645779,0.66777409,0.12076455,0.13900956,0.25977411,"Ramon Urias",18795,602104
"Alex Verdugo","NYY",0.28342674,0.62854529,0.44449189,0.73728814,0.93158661,0.86551393,0.46669513,0.61996779,0.05970149,0.2,0.25970149,"Alex Verdugo",17027,657077
"Alex Call","WSN",0.23507463,0.64888889,0.42393509,0.77777778,0.8630137,0.83732057,0.45638945,0.6460177,0.06896552,0.19066937,0.25963489,"Alex Call",19296,669743
"CJ Abrams","WSN",0.38762725,0.71719227,0.53097345,0.67878788,0.83687943,0.77166667,0.43495575,0.62790698,0.12113174,0.13837312,0.25950486,"CJ Abrams",25768,682928
"Steven Kwan","CLE",0.22203673,0.5966908,0.38937644,0.83082707,0.97227036,0.92763938,0.44665127,0.58703704,0.02814952,0.23073373,0.25888325,"Steven Kwan",24610,680757
"William Contreras","MIL",0.29082915,0.74261993,0.47384155,0.57235421,0.83726708,0.74053628,0.40508221,0.60382916,0.12289877,0.13559955,0.25849832,"William Contreras",20503,661388
"Jose Iglesias","NYM",0.43687708,0.63636364,0.52465116,0.77946768,0.92358804,0.85638298,0.44,0.63230241,0.07527881,0.1830855,0.25836431,"Jose Iglesias",10231,578428
"Jason Vosler","SEA",0.32857143,0.78,0.51666667,0.69565217,0.79487179,0.75806452,0.41666667,0.7,0.125,0.13333333,0.25833333,"Jason Vosler",16686,613564
"Luis Guillorme","- - -",0.25877193,0.62716763,0.41770574,0.73728814,0.9124424,0.85074627,0.43142145,0.51871658,0.06234414,0.1957606,0.25810474,"Luis Guillorme",16451,641645
"Austin Barnes","LAD",0.23343849,0.73913043,0.4688027,0.56756757,0.8872549,0.80215827,0.46543002,0.61538462,0.09274874,0.16526138,0.25801012,"Austin Barnes",12158,605131
"Gleyber Torres","NYY",0.25995025,0.71723001,0.45657568,0.69617225,0.84252874,0.79503106,0.42998937,0.63007519,0.09355067,0.1644224,0.25797307,"Gleyber Torres",16997,650402
"Andy Pages","LAD",0.33577406,0.72739187,0.5095986,0.63862928,0.85765766,0.77739726,0.44386271,0.63656885,0.11304348,0.14492754,0.25797101,"Andy Pages",24816,681624
"George Springer","TOR",0.28416149,0.75346535,0.49042646,0.6147541,0.84362681,0.76929902,0.43951262,0.65309446,0.11313394,0.14477677,0.25791071,"George Springer",12856,543807
"Nolan Arenado","STL",0.33523132,0.64627151,0.46797226,0.73673036,0.91863905,0.84394071,0.42676459,0.61417323,0.07291242,0.18492872,0.25784114,"Nolan Arenado",9777,571448
"Brayan Rocchio","CLE",0.32571996,0.67824773,0.46554823,0.67073171,0.87082405,0.78635779,0.3966447,0.63574661,0.09946075,0.15817855,0.2576393,"Brayan Rocchio",23690,677587
"Pete Crow-Armstrong","CHC",0.43489254,0.79014308,0.59225352,0.64534884,0.79275654,0.73246136,0.44295775,0.70731707,0.1583392,0.0992259,0.2575651,"Pete Crow-Armstrong",27769,691718
"Manuel Margot","MIN",0.3310992,0.70640569,0.49235474,0.70040486,0.88413098,0.8136646,0.42966361,0.62099125,0.09167303,0.1657754,0.25744843,"Manuel Margot",14712,622534
"Edward Olivares","PIT",0.34651163,0.71301775,0.5078125,0.61073826,0.89211618,0.78461538,0.44010417,0.60204082,0.10909091,0.14805195,0.25714286,"Edward Olivares",19698,658668
"Isaac Paredes","- - -",0.29638273,0.67427568,0.44724851,0.73622047,0.90625,0.83855799,0.39922888,0.62714509,0.0721794,0.18465312,0.25683252,"Isaac Paredes",20036,670623
