"last_name, first_name","player_id","year","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","meatball_percent","pitch_count","iz_contact_percent","in_zone_percent","edge_percent","whiff_percent","swing_percent"
"Black, Mason","696131","2024",68.1,11.4,27.4,28.9,71.1,49.5,75.6,6.2,"663",88.2,50.5,46.9,16.4,48
"Wicks, Jordan","696136","2024",72.2,15.3,31.7,38.8,59.9,54.3,80.4,6.6,"852",84.7,45.7,42.5,23.4,50.2
"Taylor, Troy","700187","2024",61.9,20.2,25.6,51.2,48.8,51.2,86.4,6.7,"328",79.8,48.8,39,29.6,43.3
"McGreevy, Michael","700241","2024",63.5,15.8,28.3,39.5,58.1,48.9,68.4,6.1,"311",84.2,51.1,43.1,22.9,46.3
"Povich, Cade","700249","2024",67.1,16.5,26.1,38.1,61.9,48.5,75.4,8.2,"1389",83.5,51.5,41.3,22.3,47.2
"Diaz, Yilber","700270","2024",66.1,12,20,47.8,52.2,49,72.5,8.5,"469",88,51,45.2,20.1,43.5
"Warren, Will","701542","2024",59.4,11.7,28.9,48.6,51.4,55.9,71.4,6.1,"458",88.3,44.1,38.9,25.8,42.4
"Festa, David","701581","2024",66.9,19.7,31.7,45.6,53.3,51.7,77.8,6.6,"1099",80.3,48.3,41.7,28.4,48.7
"Bivens, Spencer","702352","2024",65.8,15.7,23.5,28.2,71.8,47,83.1,9.2,"768",84,53,44.8,18.7,46
"Mazur, Adam","800049","2024",69.2,11.9,20.7,38.1,60.3,52.2,78.3,7.9,"584",88.1,47.8,42.5,18.4,43.8
"Matthews, Zebby","805673","2024",71.8,15.3,27.3,47.9,52.1,49.1,88.2,9.5,"717",83.6,50.9,40.4,24,49.9
"Birdsong, Hayden","806185","2024",63.1,18.3,25.9,52.5,47,55.1,74.5,7.3,"1388",80.9,44.9,41.9,29.8,42.6
"Yamamoto, Yoshinobu","808967","2024",64.2,17,31.7,48.2,51.3,48.9,73.4,7.4,"1469",83,51.1,47,27,48.3
