MLBAMID,Name,Team,PA,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%
663624,Ryan Mountcastle,BAL,507,-0.7465877979495453,,0.7774521509806315,-4.557890729206364,,-5.638758697045972,3.1074955047123014,2.664532414189092,3.0552820478166853,,1.810320253725405,,6.442990779876709,94.00702210493311,,89.60069444444444,86.0609756097561,,93.61702127659576,84.41031901041667,79.78426106770833,84.18571254185268,,84.54320987654322,,58.59999847412109,3.3134208619594574,,-2.653461128473282,-0.3167963251471519,,-3.8546335101127625,-5.346632827073336,5.116020537912846,-0.6028603427112103,,2.8864204697310925,,-0.054773960262537,9.42551996237458,,4.710084279378255,1.8689949221727324,,4.663608353913374,1.0259668259393602,-4.739111158582899,-5.5273846217564175,,3.3051524221161266,,2.553506851196289,0.40523466,0.7790404,0.56105263,0.65256125,0.85737439,0.77110694,0.41684211,0.63905325,0.12815126,0.12447479,0.25262605
666139,Josh Lowe,TBR,387,-4.304903040110356,,0.7050814731515569,-7.252339680989583,,-4.344482764769136,3.0527199523089683,4.292792938040488,3.0394589560372487,,-9.208296956005183,,5.273698806762695,94.84499018463498,,89.87913809577338,86.01449275362319,,93.13652124297752,84.6763698630137,79.95849302279875,83.68928745814732,,86.83640552995392,,55.79999923706055,-1.267634578049183,,-2.364775225520134,-0.8921171464025974,,-0.3664306439459324,-1.5819499231874945,-1.2888020016252997,0.6908110752701759,,2.979328066110611,,-0.0579699426889419,9.123556710261036,,5.117792582340377,1.2910149615743889,,3.8523425841599366,0.8823974818399508,-4.863655138315645,-5.43029294695173,,3.388727284796227,,0.5663412809371948,0.36803365,0.70319001,0.51255981,0.61428571,0.8086785,0.72928821,0.4312201,0.58914729,0.13867304,0.13927077,0.27794381
680718,Addison Barger,TOR,225,-3.6540540758070055,,0.7987968444824218,-6.1120173756669205,,-1.8917207323815213,2.178886167464717,5.014954538056345,4.906052589416504,-1.0644110043843586,-7.592118835449218,,4.904029846191406,93.37362637362638,,89.68666666666667,87.41219274009147,,93.39669421487604,84.07806199596774,79.86363636363636,82.125,45.23333231608073,86.236669921875,,61.29999923706055,-3.6062838807702073,,2.061666075140238,0.8937994204461575,,-4.86235261708498,0.603242140263319,-0.487460758537054,0.0399522557854652,0.4712098576128483,-2.243537701666355,,0.0242429338395595,9.270006116929943,,4.470619710286458,0.4663822360155059,,3.864916084226498,0.3996342320596018,-5.205020788944129,-5.896036624908447,1.628890037536621,3.056700897216797,,4.519895076751709,0.35416667,0.59366755,0.45983702,0.63529412,0.85777778,0.76202532,0.44121071,0.64,0.10930233,0.20465116,0.31395349
543807,George Springer,TOR,614,-1.6646695893386314,,0.599528977850906,-5.712639872233073,,-5.217728654308432,2.8545123964647785,2.172861467327988,2.9189569224482,,0.4248270520976945,,4.722757816314697,94.04655172413791,,89.0436991202731,86.1566650390625,,93.13550141765286,84.50050297867892,79.1692965323465,82.89999787703805,,84.80686083026961,,57.09999847412109,4.900864157825708,,-2.3097732700407505,-0.7757246904075146,,-4.080311398953199,-7.167176891118288,-0.7222128584980965,1.7942637093365192,,2.368120089173317,,-0.2134001106023788,9.477800882273709,,4.911475430015757,1.7857196807861329,,4.796192658253205,0.9684736066837376,-4.987252218681469,-4.790508767832881,,3.333866792566636,,5.032638072967529,0.28416149,0.75346535,0.49042646,0.6147541,0.84362681,0.76929902,0.43951262,0.65309446,0.11313394,0.14477677,0.25791071
663616,Trevor Larnach,MIN,400,-4.088767847521551,,0.9563218104986496,-7.44537845734627,,-5.884715800382653,2.503423844805416,5.328035666725852,4.96924802992079,,-8.477756133139383,,3.828108310699463,94.47677801724136,,90.27654200424382,86.25483555947581,,92.86598506590136,84.90341736218944,79.3209073153409,81.21388753255208,,86.24560342573221,,76.4000015258789,1.8100608922541144,,6.240348368883133,-0.5301151014864445,,3.16915462911129,-3.0258803963661194,2.461044207215309,-0.9038650132715702,,-5.134880695492029,,0.0350487045943737,9.228511135057472,,4.685095139491705,2.233978271484375,,4.145637356505102,0.950704728594478,-5.337983842329545,-5.8787994384765625,,3.1668913134969925,,2.061936140060425,0.28148959,0.66063348,0.44098985,0.49805447,0.87899543,0.7381295,0.42068528,0.5525,0.11548223,0.1751269,0.29060914
621493,Taylor Ward,LAA,663,-2.441134496436573,,0.8121484878960006,-5.977693228886046,,-6.412298890553653,2.822475599206012,3.186395263671875,2.5333503440574363,,-1.6888411148734714,,3.528604507446289,94.13584479295426,,89.5467854071101,86.19138099407327,,93.7835598601598,84.4994586447011,79.61411994485294,81.98518880208333,,85.46159561820652,,78.27499389648438,10.94264779612422,,-2.2065995149314404,0.746235154569149,,-0.9363043457269667,-6.325353637337685,-1.7140268087387085,-0.0649927482008934,,6.084778055548668,,-0.2692195661365986,9.241428823199938,,4.840223399870986,1.8089139214877423,,4.946259520369578,1.006842157115107,-4.798776065602022,-6.150999281141493,,3.291348664656929,,-1.1379592418670654,0.23347107,0.68439407,0.43247403,0.56932153,0.84840764,0.76423488,0.44132359,0.61387632,0.10188389,0.19184929,0.29373318
622761,Jorge Mateo,BAL,208,0.0439606404486503,,0.8947629801432292,-3.6033079624176025,,-1.4260433881710737,2.923191950871394,-0.1283558050791422,-0.464283029238383,,6.679844132388931,,3.4264116287231445,93.33740607108778,,88.84666666666666,85.19999694824219,,93.15042401175214,83.7923114483173,79.2183349609375,85.28333028157552,,83.76987834149097,,59.20000076293945,-5.326978482306004,,2.556019928306341,0.031439159065485,,0.6142156273126602,-2.091896180063486,0.1841826252639293,-0.5236117765307426,,-0.3359834216535091,,-0.2008376717567443,9.324939058027194,,4.402301432291667,1.6106038093566897,,4.206094334268163,0.8491772871751052,-5.35793202718099,-4.331715265909831,,3.899276181875941,,0.916313886642456,0.36853002,0.70623145,0.50731707,0.61797753,0.89915966,0.77884615,0.41097561,0.62019231,0.11219512,0.15609756,0.26829268
656775,Cedric Mullins,BAL,499,-3.0774886832052832,,0.8704252544202302,-5.778048285122575,,-1.8873297678851664,1.385678237743592,4.43501045334507,3.951098774754724,,-8.5910518685567,,2.3414840698242188,94.1982044198895,,90.03053042763158,85.31896551724138,,93.07816764465063,84.26938311973315,79.56338028169014,82.26744186046511,,86.85102891430412,,58.25,-3.523339983075857,,6.992635682225227,1.846948966383934,,-0.8118284344673157,-1.8439675904810429,-0.6580517254769802,-1.099531415849924,,0.9787995219230652,,0.8048977516591549,9.364269277667471,,5.200611315275493,1.4314847485772495,,4.025190195141922,1.3797886880596033,-5.327086972518706,-5.186616764512173,,2.8105657518524483,,9.194390296936035,0.30669145,0.73867596,0.49870934,0.68787879,0.89465409,0.82401656,0.44450181,0.61523046,0.0877193,0.13054696,0.21826625
681082,Bryson Stott,PHI,571,-2.901398525844285,,0.7470241913014213,-6.44702886225103,-3.928466320037842,-1.8873375832872104,0.5522733354299082,4.0178616333007815,1.8017690658569336,,-8.06234359741211,,2.3287107944488525,94.40354714242054,,90.1723163841808,85.99670544299451,79.55000305175781,93.14958702316076,83.8225966631356,80.0135009765625,81.02999877929688,,86.17265319824219,,76.5999984741211,-6.231316812336445,,-4.859095338732004,-0.6140963137149811,-0.2298551835119724,0.7744077481329441,3.796145047992468,1.4263044446706772,0.3822966776788234,,-1.293539546430111,,0.5972049199044704,9.23146739857121,,5.126016562941384,1.5609997759808552,0.2393317222595214,4.656771210298876,0.947093467927922,-5.194520263671875,-4.787369918823242,,3.139657020568848,,-3.101181030273437,0.32052267,0.59145129,0.43866493,0.79856115,0.89411765,0.85474308,0.43606415,0.62872154,0.06363636,0.20995671,0.27359307
664040,Brandon Lowe,TBR,425,-3.60193406063247,,0.3123760738888302,-7.876584879557291,,-5.384694794077932,1.0356102826826998,4.893950028852983,2.9927118474786933,,-8.94982695997807,,2.1424155235290527,94.63068040338644,,90.07838013795045,86.90666775173611,,93.17036795910494,84.63793103448276,80.71136659564394,81.93636252663352,,86.53684210526316,,57.70000076293945,5.113322585821152,,1.1151218749582767,-2.293103910982609,,2.587064530700445,-1.6505133546888828,3.0675380006432533,-0.738837294280529,,-1.9089565686881544,,0.7655333876609802,9.544754575448207,,5.52838134765625,1.5630067613389758,,3.624980785228588,1.093889098929761,-5.381947372898911,-5.984858426180753,,3.3622380842242325,,0.2822113931179046,0.35830619,0.80512091,0.55172414,0.4969697,0.81448763,0.69754464,0.43288177,0.63764706,0.16687192,0.09975369,0.26662562
645444,Jose Herrera,ARI,114,-1.0075456165132068,,1.2040194272994995,-2.796274730137416,,-2.5700359679104987,1.650677063885857,1.8508703843602596,4.786968577991832,,-1.3464760615907867,,1.9627766609191892,93.83666294642858,,89.64374542236328,87.05714634486607,,93.640350877193,84.56029555376838,79.84716796875,82.68181818181819,,85.16379310344827,,78.69999694824219,0.0554162114858627,,-1.4087500721216202,0.2712349891662597,,-2.3999081775546074,-1.586358763277531,2.43361521884799,0.6742267832159996,,-1.8341453708708289,,-0.1796730905771255,9.185867164248512,,4.4659037590026855,1.4938255037580217,,5.318556400767544,0.8751451267915613,-5.513302785045696,-5.809359116987749,,2.2151899666621766,,-2.410189628601074,0.24363636,0.61061947,0.40918164,0.6119403,0.87681159,0.7902439,0.4510978,0.5877193,0.08582834,0.20958084,0.29540918
