Name,Team,PA,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Ernie Clement","TOR",452,0.27467219,,0.08695652,0.01173223,,0.19116632,0.25810904,0.05866115,0.0110421,0.00069013,0.10697032,,,,"Ernie Clement",20352,676391
"Luis García Jr.","WSN",528,0.2708444,,0.07647371,0.047265,,0.15932023,0.17896973,0.11471057,0.02230483,,0.12267658,,0.00743494,,"Luis Garcia Jr.",20391,671277
"Royce Lewis","MIN",325,0.28304947,,0.08596918,0.03406326,,0.15571776,0.25304136,0.06326034,0.00973236,,0.11273317,,0.00243309,,"Royce Lewis",20437,668904
"Jazz Chisholm Jr.","- - -",621,0.29951885,,0.08821171,0.05012029,,0.14795509,0.21090617,0.0701684,0.01603849,0.0032077,0.11186848,,0.00200481,,"Jazz Chisholm Jr.",20454,665862
"William Contreras","MIL",679,0.2924916,,0.07358984,0.02913709,0.0007471,0.19462084,0.23010833,0.05939484,0.01979828,0.00112066,0.09712365,0.00112066,0.0007471,,"William Contreras",20503,661388
"Nick Madrigal","CHC",94,0.2877095,,0.08100559,0.01396648,,0.22625698,0.27094972,0.06145251,0.01117318,,0.04748603,,,,"Nick Madrigal",20521,663611
"Nolan Jones","COL",297,0.42428901,,0.10069178,0.02229055,,0.1206764,0.17524981,0.06072252,0.01921599,,0.07686395,,,,"Nolan Jones",20529,666134
"Vidal Bruján","MIA",278,0.37061611,,0.10521327,0.0464455,,0.10900474,0.18104265,0.06919431,0.00853081,,0.107109,,0.0028436,,"Vidal Brujan",20536,660644
"Jose Miranda","MIN",429,0.29025974,,0.08311688,0.02727273,,0.14675325,0.28311688,0.05974026,0.02337662,,0.08441558,,0.00194805,,"Jose Miranda",20538,669304
"Elehuris Montero","COL",247,0.22968581,,0.06392199,0.03900325,,0.17334778,0.28710726,0.0780065,0.02166847,,0.10400867,,0.00325027,,"Elehuris Montero",20543,660707
"Kody Clemens","PHI",120,0.38675214,,0.04700855,0.03846154,,0.12606838,0.26495726,0.07905983,0.00641026,,0.05128205,,,,"Kody Clemens",20572,665019
"Iván Herrera","STL",259,0.30954677,,0.07232401,0.02700096,0.00192864,0.21504339,0.21890068,0.05207329,0.02507232,,0.07810993,,,,"Ivan Herrera",20599,671056
"Leo Rivas","SEA",86,0.35309973,,0.07816712,0.01347709,,0.17789757,0.18598383,0.05660377,0.01886792,0.00808625,0.10781671,,,,"Leo Rivas",21009,660844
"Trey Cabbage","HOU",91,0.24404762,,0.08928571,0.09821429,,0.13392857,0.21428571,0.04761905,0.01190476,0.00297619,0.1577381,,,,"Trey Cabbage",21078,663550
"Sean Bouchard","COL",108,0.35730858,,0.06032483,0.03712297,,0.14617169,0.22041763,0.09976798,0.00464037,,0.06728538,,0.00696056,,"Sean Bouchard",21270,656248
"Lars Nootbaar","STL",405,0.33031947,,0.06570223,0.03797468,,0.16877637,0.18324292,0.07715491,0.01868596,,0.11754069,0.00060277,,,"Lars Nootbaar",21454,663457
"Nico Hoerner","CHC",641,0.3059637,,0.07087295,0.02506482,,0.21607606,0.24589455,0.06179775,0.0099395,,0.06439067,,,,"Nico Hoerner",21479,663538
"Trevor Larnach","MIN",400,0.27601523,,0.10279188,0.0786802,,0.09327411,0.20431472,0.06979695,0.02284264,,0.15164975,,0.00063452,,"Trevor Larnach",21501,663616
"Jonathan India","CIN",637,0.31334842,,0.07466063,0.01696833,0.00037707,0.22021116,0.22737557,0.05882353,0.01772247,,0.06825038,,0.00226244,,"Jonathan India",21523,663697
"Joey Bart","PIT",282,0.2715173,,0.08961846,0.02395741,,0.22537711,0.25199645,0.05501331,0.01419698,,0.06832298,,,,"Joey Bart",21524,663698
"Cal Raleigh","SEA",628,0.31702466,,0.08074781,0.04494829,,0.09148767,0.17541766,0.07875895,0.02665076,0.00119332,0.18337311,0.00039777,,,"Cal Raleigh",21534,663728
"Nick Fortes","MIA",335,0.29376083,,0.07538995,0.00606586,,0.22963605,0.22443674,0.07019064,0.01733102,,0.08232236,,0.00086655,,"Nick Fortes",21538,663743
"Matt Vierling","DET",567,0.35830048,,0.07709155,0.0109505,,0.1804643,0.22339028,0.05081034,0.01445466,,0.08453789,,,,"Matt Vierling",21558,663837
"Romy Gonzalez","BOS",216,0.27723971,,0.08232446,0.0157385,,0.15133172,0.23486683,0.07748184,0.03995157,,0.12106538,,,,"Romy Gonzalez",21562,663853
"Kyle Isbel","KCR",426,0.32194813,,0.08475648,0.04048071,,0.12270715,0.16698292,0.10183428,0.02466793,,0.13662239,,,,"Kyle Isbel",21614,664728
"Alec Bohm","PHI",606,0.31119545,,0.08064516,0.01233397,0.00094877,0.20683112,0.24857685,0.05218216,0.00521822,0.00047438,0.07874763,0.00047438,0.00237192,,"Alec Bohm",21618,664761
"Jake McCarthy","ARI",495,0.32110609,,0.08182844,0.04401806,0.00112867,0.13600451,0.20090293,0.06659142,0.01467269,0.00112867,0.12358916,0.00282167,0.00620767,,"Jake McCarthy",21622,664983
"Griffin Conine","MIA",89,0.32934132,,0.05688623,0.03892216,,0.10479042,0.19760479,0.13473054,0.03592814,0.00598802,0.08682635,0.00898204,,,"Griffin Conine",21626,665052
"Jeremy Peña","HOU",650,0.25880282,,0.07306338,0.02552817,,0.20642606,0.27640845,0.0431338,0.01672535,0.00088028,0.09815141,0.00088028,,,"Jeremy Pena",21636,665161
"Rafael Marchán","PHI",56,0.35326087,,0.08695652,0.02717391,,0.07065217,0.14130435,0.11956522,,,0.16847826,,0.0326087,,"Rafael Marchan",21646,665561
"Miguel Amaya","CHC",363,0.27730442,,0.06816421,0.03175833,,0.20139427,0.26103796,0.05344694,0.01006971,0.00077459,0.09604957,,,,"Miguel Amaya",21693,665804
"Oswaldo Cabrera","NYY",326,0.30149961,,0.09471192,0.05367009,,0.12312549,0.20126283,0.07734807,0.01341752,0.00078927,0.13417522,,,,"Oswaldo Cabrera",21707,665828
"Oneil Cruz","PIT",599,0.25241495,,0.07223856,0.05333893,,0.13439731,0.22553549,0.11171777,0.03275934,,0.11759765,,,,"Oneil Cruz",21711,665833
"Enmanuel Valdez","BOS",223,0.33841132,,0.07399347,0.05440696,,0.10228509,0.17627856,0.08487486,0.0250272,0.00217628,0.13710555,,0.0054407,,"Enmanuel Valdez",21716,665839
"José Fermín","STL",79,0.27217125,,0.05810398,0.01834862,,0.2324159,0.22629969,0.04587156,0.01223242,,0.13455657,,,,"Jose Fermin",21746,665877
"Esteury Ruiz","OAK",65,0.32926829,,0.07317073,,,0.17886179,0.23577236,0.09349593,0.00406504,,0.08536585,,,,"Esteury Ruiz",21780,665923
"Andrés Chaparro","WSN",132,0.2952381,,0.0552381,0.04571429,,0.15047619,0.24571429,0.07238095,0.03047619,,0.1047619,,,,"Andres Chaparro",21797,665953
"Jonathan Aranda","TBR",143,0.31588133,,0.12914485,0.05584642,,0.13612565,0.13787086,0.11343805,0.008726,,0.10296684,,,,"Jonathan Aranda",21837,666018
"Freddy Fermin","KCR",368,0.33054393,,0.08437936,0.02440725,,0.17364017,0.22105997,0.06485356,0.01324965,0.00069735,0.08647141,,0.00069735,,"Freddy Fermin",21840,666023
"Will Benson","CIN",388,0.32930514,,0.08398792,0.04229607,0.00060423,0.13655589,0.18126888,0.09244713,0.02356495,,0.10574018,,0.00422961,,"Will Benson",21853,666181
"Bo Naylor","CLE",389,0.3362069,,0.09359606,0.02955665,,0.09729064,0.20320197,0.07573892,0.02586207,,0.13485222,,0.00369458,,"Bo Naylor",21865,666310
"Jerar Encarnacion","SFG",119,0.25306122,,0.09387755,0.01428571,,0.19183673,0.25714286,0.07142857,0.01836735,0.00612245,0.09387755,,,,"Jerar Encarnacion",21871,666464
"Christopher Morel","- - -",611,0.28869048,,0.07185374,0.01828231,,0.1832483,0.2827381,0.06505102,0.00892857,,0.08120748,,,,"Christopher Morel",21897,666624
"Dane Myers","MIA",108,0.32470588,,0.08470588,0.00705882,,0.17411765,0.23529412,0.06588235,,,0.10823529,,,,"Dane Myers",22054,667472
"Akil Baddoo","DET",82,0.30188679,,0.05345912,0.0754717,,0.12264151,0.19496855,0.06603774,0.00628931,0.01257862,0.16666667,,,,"Akil Baddoo",22168,668731
"Mark Vientos","NYM",454,0.21355353,,0.08143508,0.01594533,,0.17482916,0.31890661,0.07232346,0.01252847,0.00113895,0.10649203,,0.00284738,,"Mark Vientos",22184,668901
"Brice Turang","MIL",619,0.3582996,,0.07530364,0.0340081,,0.15587045,0.15910931,0.08299595,0.02267206,0.00242915,0.10890688,0.00040486,,,"Brice Turang",22186,668930
"MJ Melendez","KCR",451,0.37127371,,0.10406504,0.04119241,,0.09105691,0.16151762,0.08943089,0.01734417,,0.12411924,,,,"MJ Melendez",22197,669004
"Luis Campusano","SDP",299,0.27902439,,0.07707317,0.02146341,,0.24195122,0.21658537,0.06926829,0.01268293,0.00292683,0.07902439,,,,"Luis Campusano",22217,669134
"Mason McCoy","SDP",57,0.27155172,,0.06034483,0.00862069,,0.35775862,0.22413793,0.04310345,0.01293103,,0.02155172,,,,"Mason McCoy",22232,669200
"Jack Suwinski","PIT",277,0.33662478,,0.1032316,0.04039497,,0.12746858,0.16696589,0.06283662,0.02603232,0.00089767,0.13554758,,,,"Jack Suwinski",22244,669261
"Nolan Gorman","STL",402,0.38418079,,0.06403013,0.03075957,0.00251099,0.1299435,0.16949153,0.08035154,0.02636535,,0.10546139,0.00062775,0.00627746,,"Nolan Gorman",22263,669357
"Xavier Edwards","MIA",303,0.36962025,,0.09367089,0.02362869,,0.15949367,0.12405063,0.08776371,0.01181435,,0.12742616,,0.00253165,,"Xavier Edwards",22266,669364
"Jake Burger","MIA",579,0.22921672,,0.08361365,0.02835175,,0.20855358,0.25372417,0.05718405,0.01105238,0.00096108,0.1220567,,0.00528592,,"Jake Burger",22275,669394
"Nick Allen","OAK",105,0.32303371,,0.08426966,0.02247191,,0.10955056,0.25842697,0.10393258,0.01966292,,0.07865169,,,,"Nick Allen",22277,669397
"Taylor Walls","TBR",252,0.4192607,,0.09241245,0.03307393,,0.10116732,0.13326848,0.11089494,0.0077821,,0.10214008,,,,"Taylor Walls",22458,670764
"Triston Casas","BOS",243,0.29667003,,0.08577195,0.05852674,,0.09889001,0.21997982,0.09989909,0.02623613,,0.11402624,,,,"Triston Casas",22514,671213
"Heliot Ramos","SFG",518,0.33899151,,0.0664004,0.01198203,,0.18172741,0.24163754,0.06240639,0.01647529,,0.07938093,0.0009985,,,"Heliot Ramos",22515,671218
"Tyler Freeman","CLE",383,0.34467777,,0.07675597,0.01448226,0.00072411,0.17161477,0.22592324,0.05503259,0.01520637,,0.09558291,,,,"Tyler Freeman",22532,671289
"Lawrence Butler","OAK",451,0.36749311,,0.08209366,0.03526171,,0.11735537,0.16914601,0.0523416,0.01432507,0.00385675,0.15812672,,,,"Lawrence Butler",22542,671732
"Michael Siani","STL",334,0.32841615,,0.09083851,0.04037267,,0.1560559,0.21428571,0.08695652,0.01552795,,0.06754658,,,,"Michael Siani",22557,672279
"Jarred Kelenic","ATL",449,0.31968146,,0.07963595,0.04209329,0.00455063,0.13139932,0.18486917,0.06939704,0.0221843,0.00227531,0.13822526,,0.00568828,,"Jarred Kelenic",22558,672284
"Gabriel Arias","CLE",161,0.26989619,,0.06747405,0.01038062,,0.17820069,0.29930796,0.06401384,0.00865052,,0.10207612,,,,"Gabriel Arias",22563,672356
"Alejandro Kirk","TOR",386,0.31906355,,0.0909699,0.01538462,,0.23076923,0.1993311,0.05551839,0.01070234,0.00401338,0.07424749,,,,"Alejandro Kirk",22581,672386
"Gabriel Moreno","ARI",351,0.32049608,,0.06462141,0.01827676,0.00130548,0.22650131,0.22650131,0.04895561,0.02545692,0.00065274,0.06592689,,0.00130548,,"Gabriel Moreno",22664,672515
"Maikel Garcia","KCR",626,0.35,,0.08983051,0.01652542,,0.17161017,0.25635593,0.04830508,0.01228814,,0.05508475,,,,"Maikel Garcia",22715,672580
"Geraldo Perdomo","ARI",388,0.38910256,,0.08205128,0.01987179,,0.1275641,0.18012821,0.09102564,0.01410256,,0.09038462,,0.00576923,,"Geraldo Perdomo",22799,672695
"Wenceel Pérez","DET",425,0.36363636,,0.10989643,0.03682394,,0.10817031,0.13981588,0.0863061,0.01783659,,0.13578826,0.00172612,,,"Wenceel Perez",22857,672761
"Lenyn Sosa","CHW",369,0.33841685,,0.07189542,0.01525054,,0.17211329,0.25635439,0.04357298,0.01525054,,0.08714597,,,,"Lenyn Sosa",22896,672820
"Yainer Diaz","HOU",619,0.28900376,,0.05545113,0.02584586,,0.16118421,0.26738722,0.07800752,0.02114662,,0.10197368,,,,"Yainer Diaz",23003,673237
"Jacob Amaya","- - -",72,0.39202658,,0.05980066,0.0166113,,0.15282392,0.21594684,0.07641196,0.00996678,,0.07641196,,,,"Jacob Amaya",23296,676070
"Ryan Noda","OAK",111,0.3747495,,0.11022044,0.03807615,,0.13426854,0.16032064,0.09218437,0.02805611,,0.06212425,,,,"Ryan Noda",23312,676116
"Nelson Velázquez","KCR",230,0.26578073,,0.09856035,0.01218162,,0.12292359,0.33776301,0.04761905,0.0110742,,0.10409745,,,,"Nelson Velazquez",23359,676369
"Eric Wagaman","LAA",74,0.34944238,,0.0669145,0.0260223,,0.08550186,0.31598513,0.07434944,,,0.08178439,,,,"Eric Wagaman",23395,676572
"José Caballero","TBR",483,0.28194298,,0.08078141,0.02006336,,0.17106653,0.27666315,0.06916579,0.01689546,,0.08342133,,,,"Jose Caballero",23401,676609
"Davis Schneider","TOR",454,0.34742741,,0.09016811,0.01782985,,0.1757514,0.20478859,0.05348956,0.0188487,0.00101885,0.08965869,,0.00101885,,"Davis Schneider",23565,676914
"Brayan Rocchio","CLE",442,0.34092271,,0.09886159,0.03714799,,0.10844817,0.16896345,0.08088676,0.02456561,,0.14020371,,,,"Brayan Rocchio",23690,677587
"José Tena","- - -",168,0.36106984,,0.08469539,0.01931649,,0.12927192,0.20059435,0.08766716,0.03863299,,0.07726597,0.00148588,,,"Jose Tena",23691,677588
"Julio Rodríguez","SEA",613,0.28469602,,0.07421384,0.01844864,,0.16939203,0.27044025,0.05534591,0.02096436,,0.10607966,0.00041929,,,"Julio Rodriguez",23697,677594
"Ezequiel Duran","TEX",285,0.31485149,,0.05445545,0.01683168,,0.18514851,0.28217822,0.04554455,0.01584158,,0.08514851,,,,"Ezequiel Duran",23733,677649
"Wilyer Abreu","BOS",447,0.40022173,,0.0748337,0.04656319,,0.11807095,0.1518847,0.07538803,0.01773836,0.00443459,0.10643016,0.00166297,0.00277162,,"Wilyer Abreu",23772,677800
"Leo Jiménez","TOR",210,0.31050767,,0.07792208,0.02125148,,0.18890201,0.23494687,0.07083825,0.00236128,0.00354191,0.08736718,,0.00236128,,"Leo Jimenez",23782,677870
"Blaze Alexander","ARI",185,0.34733894,,0.04201681,0.00560224,,0.17927171,0.25630252,0.05602241,0.02240896,,0.08263305,,0.00840336,,"Blaze Alexander",23789,677942
"Alek Thomas","ARI",103,0.2983871,,0.08064516,0.02956989,,0.13978495,0.19354839,0.11290323,0.01344086,,0.13172043,,,,"Alek Thomas",23792,677950
"Parker Meadows","DET",298,0.29554996,,0.1015953,0.0411419,,0.1125105,0.2115869,0.08060453,0.01007557,0.00419815,0.1427372,,,,"Parker Meadows",23800,678009
"Ji Hwan Bae","PIT",81,0.34185304,,0.05750799,0.02555911,,0.20766773,0.08626198,0.09904153,0.01597444,,0.16613419,,,,"Ji Hwan Bae",23818,678225
"Curtis Mead","TBR",132,0.26963907,,0.08067941,,,0.17409766,0.29087049,0.06794055,0.01273885,,0.10191083,,0.00212314,,"Curtis Mead",23986,678554
"Ezequiel Tovar","COL",695,0.32511924,,0.09062003,0.01748808,,0.14745628,0.25755167,0.06438792,0.01629571,,0.07551669,,0.00556439,,"Ezequiel Tovar",24064,678662
"Jhonkensy Noel","CLE",198,0.24689655,,0.06206897,0.02206897,,0.16413793,0.30206897,0.06344828,0.02206897,,0.11724138,,,,"Jhonkensy Noel",24257,678877
"Ceddanne Rafaela","BOS",571,0.30483092,,0.07101449,0.01545894,,0.15700483,0.27777778,0.06908213,0.01400966,0.00386473,0.08502415,0.00048309,0.00144928,,"Ceddanne Rafaela",24262,678882
"Johan Rojas","PHI",363,0.28743416,,0.0662152,0.01203913,,0.20842739,0.2731377,0.07072987,0.00978179,,0.07223476,,,,"Johan Rojas",24336,679032
"Max Schuemann","OAK",459,0.33297003,,0.06594005,0.01743869,,0.21525886,0.22888283,0.05231608,0.00871935,0.00381471,0.0746594,,,,"Max Schuemann",24488,680474
"Richie Palacios","TBR",316,0.33879781,,0.1147541,0.04918033,,0.14363778,0.16003123,0.07416081,0.02263856,,0.09679938,,,,"Richie Palacios",24589,680700
"Addison Barger","TOR",225,0.31633835,,0.08690614,0.04750869,,0.14020857,0.17960603,0.0764774,0.00926999,0.00347625,0.13904983,,0.00115875,,"Addison Barger",24598,680718
"Steven Kwan","CLE",540,0.36905312,,0.07482679,0.03094688,,0.16397229,0.17551963,0.06096998,0.01200924,,0.10900693,0.00046189,0.00323326,,"Steven Kwan",24610,680757
"Jarren Duran","BOS",735,0.36884669,,0.08966245,0.03551336,,0.14029536,0.18670886,0.07770745,0.01265823,0.00070323,0.08614627,0.00035162,0.00140647,,"Jarren Duran",24617,680776
"Ryan Jeffers","MIN",465,0.30049806,,0.07747648,0.01494189,,0.19147759,0.24571112,0.06751522,0.0166021,,0.08577753,,,,"Ryan Jeffers",24618,680777
"Brendan Donovan","STL",652,0.3647343,,0.07447665,0.0326087,0.00080515,0.16465378,0.17673108,0.07809984,0.01127214,,0.09339775,0.00080515,0.00241546,,"Brendan Donovan",24679,680977
"Jonah Bride","MIA",272,0.26361279,,0.08815903,0.01901469,,0.20829732,0.23076923,0.09420916,0.01555748,,0.07692308,,0.00345722,,"Jonah Bride",24703,681146
"Logan O'Hoppe","LAA",522,0.27281896,,0.0595058,0.03025719,,0.17599597,0.29097327,0.05900151,0.01613717,,0.09329299,,0.00201715,,"Logan O'Hoppe",24729,681351
"James Outman","LAD",156,0.34858044,,0.07097792,0.05993691,,0.12460568,0.18927445,0.07570978,0.03154574,,0.08832808,,0.01104101,,"James Outman",24770,681546
"Andy Pages","LAD",443,0.35834788,,0.06399069,0.02850494,0.00058173,0.1628854,0.25596277,0.04188482,0.01512507,0.00581734,0.06457243,,0.00232693,,"Andy Pages",24816,681624
"David Fry","CLE",392,0.29240924,,0.09306931,0.01320132,0.0019802,0.17623762,0.25280528,0.05280528,0.00858086,0.00132013,0.1009901,,0.00660066,,"David Fry",24934,681807
"David Hensley","MIA",58,0.192,,0.016,0.048,,0.216,0.24,0.112,0.028,,0.148,,,,"David Hensley",25111,682073
"Daniel Schneemann","CLE",221,0.33407325,,0.08213097,0.03662597,,0.11653718,0.18867925,0.0754717,0.01442841,,0.14539401,,0.00665927,,"Daniel Schneemann",25180,682177
"Michael Stefanic","LAA",124,0.37551867,,0.04564315,0.02074689,,0.22821577,0.19502075,0.0746888,0.00622407,,0.05394191,,,,"Michael Stefanic",25353,683021
"Austin Shenton","TBR",50,0.27358491,,0.14622642,0.05660377,,0.22641509,0.10377358,0.05188679,0.01886792,,0.12264151,,,,"Austin Shenton",25425,668853
"Brenton Doyle","COL",603,0.30711959,,0.08748255,0.01628664,,0.18241042,0.23173569,0.0767799,0.0241973,,0.06979991,,0.00418799,,"Brenton Doyle",25479,686668
"Nick Sogard","BOS",86,0.31034483,,0.12356322,0.02873563,,0.11206897,0.19252874,0.09195402,0.02586207,,0.11494253,,,,"Nick Sogard",25483,686765
"Joey Ortiz","MIL",511,0.3220339,,0.05979284,0.01271186,,0.22928437,0.22787194,0.06403013,0.01412429,0.00329567,0.06591337,0.00094162,,,"Joey Ortiz",25493,687401
"Aaron Schunk","COL",98,0.26502732,,0.10655738,0.02185792,,0.17759563,0.26775956,0.07377049,,0.00819672,0.06830601,,0.01092896,,"Aaron Schunk",25524,668845
"Korey Lee","CHW",394,0.31140658,,0.07627712,0.02589223,,0.13645906,0.26871938,0.06927922,0.01679496,,0.09517145,,,,"Korey Lee",25543,686676
"Kyle McCann","OAK",157,0.27559055,,0.07716535,0.03464567,,0.11181102,0.26456693,0.11023622,0.01574803,0.00629921,0.1023622,,0.0015748,,"Kyle McCann",25575,668832
"Marco Luciano","SFG",81,0.25846154,,0.07076923,0.03076923,,0.2,0.30461538,0.04,0.02461538,,0.07076923,,,,"Marco Luciano",25616,682617
"Bryan Ramos","CHW",108,0.27272727,,0.07177033,0.00478469,,0.18181818,0.26555024,0.06698565,0.00239234,,0.13397129,,,,"Bryan Ramos",25621,682868
"Drew Millas","WSN",62,0.36904762,,0.07539683,0.03968254,,0.17063492,0.12698413,0.08333333,0.04365079,,0.09126984,,,,"Drew Millas",25643,686452
"Will Brennan","CLE",353,0.36422764,,0.06910569,0.04146341,0.00081301,0.10162602,0.17560976,0.06747967,0.01626016,0.00406504,0.15528455,0.00162602,0.00243902,,"Will Brennan",25660,686823
"Grant McCray","SFG",130,0.40077071,,0.05780347,0.04238921,,0.10597303,0.18689788,0.07899807,0.01926782,0.00192678,0.10597303,,,,"Grant McCray",25690,687529
"Bobby Witt Jr.","KCR",709,0.28923077,,0.08615385,0.03115385,,0.15153846,0.28269231,0.06615385,0.01461538,,0.07846154,,,,"Bobby Witt Jr.",25764,677951
"CJ Abrams","WSN",602,0.26890756,,0.07916851,0.04820876,,0.14816453,0.22202565,0.09597523,0.02034498,,0.11455108,,0.00265369,,"CJ Abrams",25768,682928
"Pedro Pagés","STL",218,0.33928571,,0.05595238,0.0202381,,0.20595238,0.23928571,0.04761905,0.01071429,,0.08095238,,,,"Pedro Pages",25782,686780
"Jared Triolo","PIT",446,0.30498866,,0.07029478,0.02040816,,0.19671202,0.26814059,0.04705215,0.01814059,,0.07426304,,,,"Jared Triolo",25807,669707
"Shea Langeliers","OAK",534,0.33968891,,0.07124937,0.02558956,,0.13346713,0.24686402,0.06221776,0.02007025,0.00551932,0.09483191,,0.00050176,,"Shea Langeliers",25816,669127
"Braden Shewmake","CHW",67,0.34579439,,0.10280374,0.03738318,,0.21028037,0.13084112,0.10280374,0.01869159,,0.05140187,,,,"Braden Shewmake",25817,669699
"Michael Toglia","COL",458,0.31658817,,0.10465725,0.03663004,,0.08006279,0.18524333,0.10727368,0.02511774,,0.14024071,0.00104657,0.00313972,,"Michael Toglia",25845,669911
"Ryan Kreidler","DET",65,0.30418251,,0.08365019,,,0.20152091,0.23954373,0.0608365,0.00760456,,0.1026616,,,,"Ryan Kreidler",25867,668952
"Corbin Carroll","ARI",684,0.36702128,,0.07978723,0.02583587,,0.15463526,0.18427052,0.07028875,0.01405775,0.00113982,0.0949848,0.00037994,0.00759878,,"Corbin Carroll",25878,682998
"Michael Harris II","ATL",470,0.36676558,,0.06884273,0.02255193,,0.14183976,0.16557864,0.0735905,0.03026706,0.00534125,0.12106825,0.00237389,0.00178042,,"Michael Harris II",25931,671739
"Kerry Carpenter","DET",296,0.26593807,,0.09380692,0.03005464,,0.1129326,0.22404372,0.1010929,0.02094718,,0.15118397,,,,"Kerry Carpenter",25961,681481
"Riley Greene","DET",584,0.29552114,,0.09753035,0.03139389,,0.14859774,0.17287568,0.08246128,0.01213897,,0.15906237,0.00041859,,,"Riley Greene",25976,682985
"Nasim Nuñez","WSN",78,0.382263,,0.06116208,0.02140673,,0.21712538,0.11314985,0.07033639,0.02140673,,0.11314985,,,,"Nasim Nunez",25979,683083
"Vaughn Grissom","BOS",114,0.26862302,,0.09480813,0.01128668,,0.20316027,0.28442438,0.08352144,0.00451467,,0.0496614,,,,"Vaughn Grissom",26031,687093
"Francisco Alvarez","NYM",342,0.24793388,,0.08489857,0.03005259,,0.18707739,0.27798648,0.07588279,0.01652893,,0.07738542,,0.00225394,,"Francisco Alvarez",26121,682626
"Brett Baty","NYM",171,0.29142012,,0.0887574,0.04881657,,0.14349112,0.21745562,0.07544379,0.02514793,,0.10946746,,,,"Brett Baty",26123,683146
"Dominic Fletcher","CHW",241,0.35777778,,0.08666667,0.03777778,,0.16666667,0.15666667,0.08888889,0.00555556,,0.1,,,,"Dominic Fletcher",26149,666150
"Kyle Stowers","- - -",209,0.36996337,,0.09035409,0.05006105,,0.12820513,0.14529915,0.07692308,0.01221001,,0.12332112,,0.003663,,"Kyle Stowers",26151,669065
"Andrew Vaughn","CHW",619,0.29396662,,0.06974754,0.03594352,,0.14291827,0.27813436,0.07616602,0.01412067,,0.089003,,,,"Andrew Vaughn",26197,683734
"Tyler Fitzgerald","SFG",341,0.2887218,,0.06992481,0.01879699,,0.18045113,0.26015038,0.0556391,0.01729323,0.00150376,0.1075188,,,,"Tyler Fitzgerald",26208,666149
"Darell Hernaiz","OAK",135,0.28235294,,0.0745098,0.02352941,,0.1745098,0.23333333,0.08235294,0.00980392,0.01176471,0.10784314,,,,"Darell Hernaiz",26224,687231
"Adley Rutschman","BAL",638,0.33667567,,0.09178558,0.03933668,,0.10759738,0.17045893,0.07288855,0.01696876,0.00115696,0.16120324,,0.00192827,,"Adley Rutschman",26288,668939
"Gunnar Henderson","BAL",719,0.32631215,,0.08425414,0.03970994,,0.15987569,0.17990331,0.06146409,0.01691989,,0.13156077,,,,"Gunnar Henderson",26289,683002
"Bryson Stott","PHI",571,0.35736129,,0.07732634,0.03975535,0.00087374,0.16033202,0.15465269,0.0873744,0.00873744,,0.11183923,,0.00174749,,"Bryson Stott",26294,681082
"Oliver Dunn","MIL",104,0.31818182,,0.1291866,0.04784689,,0.15311005,0.16746411,0.08133971,0.01435407,,0.08851675,,,,"Oliver Dunn",26295,686554
"Josh Jung","TEX",188,0.30333817,,0.07402032,0.01596517,,0.18722787,0.26415094,0.05079826,0.02612482,,0.07837446,,,,"Josh Jung",26299,673962
"Michael Busch","CHC",567,0.36575053,,0.08541226,0.03805497,,0.11035941,0.19154334,0.08498943,0.00887949,0.0012685,0.11374207,,,,"Michael Busch",26319,683737
"Spencer Steer","CIN",656,0.32888211,,0.07439908,0.01831362,,0.20755437,0.22663106,0.05837467,0.01678749,,0.06562381,,0.0034338,,"Spencer Steer",26323,668715
"Jonny DeLuca","TBR",362,0.2802974,,0.08624535,0.02007435,,0.17620818,0.29442379,0.06394052,0.00669145,,0.07211896,,,,"Jonny DeLuca",26365,676356
"JJ Bleday","OAK",642,0.30044301,,0.070882,0.04470399,,0.12122433,0.20579944,0.08618607,0.0177205,0.00161095,0.15142972,,,,"JJ Bleday",26368,668709
"Josh Smith","TEX",592,0.34105534,,0.09395109,0.04118404,,0.13513514,0.16688117,0.07507508,0.01887602,,0.12784213,,,,"Josh Smith",26396,669701
"Kyren Paris","LAA",59,0.38034188,,0.05128205,0.0042735,,0.17094017,0.20512821,0.0982906,,,0.07264957,,0.01709402,,"Kyren Paris",26420,677347
"Dominic Canzone","SEA",188,0.20258621,,0.08477011,0.06178161,,0.09770115,0.21408046,0.12787356,0.04022989,0.00862069,0.16235632,,,,"Dominic Canzone",26438,686527
"Matt Wallner","MIN",261,0.37378641,,0.1038835,0.04854369,,0.08640777,0.21941748,0.06019417,0.02330097,,0.0815534,,0.00291262,,"Matt Wallner",26466,670242
"Luis Matos","SFG",156,0.30514706,,0.0625,0.01470588,,0.22610294,0.24816176,0.04595588,0.01470588,,0.08272059,,,,"Luis Matos",26467,682641
"Spencer Horwitz","TOR",381,0.32300885,,0.09039191,0.04867257,,0.16182048,0.17635904,0.04867257,0.01959545,0.00126422,0.13021492,,,,"Spencer Horwitz",26477,687462
"Noelvi Marte","CIN",242,0.22108844,,0.08276644,0.01020408,,0.1893424,0.33673469,0.05442177,0.02380952,0.00113379,0.08049887,,,,"Noelvi Marte",26517,682622
