Name,Team,PA,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Sam Hilliard","COL",158,0.31711146,,0.08791209,0.02511774,,0.13657771,0.2166405,0.08634223,0.00627943,,0.11459969,,0.00941915,,"Sam Hilliard",17954,656541
"Ty France","- - -",535,0.35601578,,0.06755424,0.01134122,,0.1770217,0.24013807,0.05719921,0.00690335,,0.08382643,,,,"Ty France",17982,664034
"Tyler Stephenson","CIN",515,0.26553672,,0.07036466,0.02003082,,0.25166923,0.23728814,0.04725218,0.02568053,,0.08217771,,,,"Tyler Stephenson",17988,663886
"Paul DeJong","- - -",482,0.3284711,,0.07617504,0.01404646,,0.17017828,0.23446786,0.06104808,0.01296596,,0.10264722,,,,"Paul DeJong",18015,657557
"Harrison Bader","NYM",437,0.26593807,,0.06982392,0.01821494,,0.20157863,0.27504554,0.06800243,0.0103218,0.00546448,0.0856102,,,,"Harrison Bader",18030,664056
"Jake Cronenworth","SDP",656,0.40152616,,0.08103198,0.02906977,,0.16860465,0.15334302,0.07485465,0.01889535,0.00036337,0.07122093,0.00109012,,,"Jake Cronenworth",18036,630105
"Dylan Moore","SEA",441,0.31263858,,0.06707317,0.01718404,,0.16962306,0.26274945,0.05266075,0.01662971,0.00055432,0.10088692,,,,"Dylan Moore",18042,664238
"Garrett Stubbs","PHI",187,0.3310992,,0.0844504,0.02412869,,0.1541555,0.24396783,0.07104558,0.01072386,,0.08042895,,,,"Garrett Stubbs",18067,596117
"Nathan Lukes","TOR",91,0.41011236,,0.0758427,0.03932584,,0.1488764,0.12921348,0.07865169,,0.01123596,0.10674157,,,,"Nathan Lukes",18123,664770
"LaMonte Wade Jr.","SFG",401,0.3862111,,0.08663819,0.04453935,,0.09517999,0.14521049,0.06223307,0.01647346,0.00061013,0.15985357,,0.00305064,,"LaMonte Wade Jr.",18126,664774
"Seth Brown","OAK",400,0.30670103,,0.09020619,0.06314433,,0.09085052,0.21069588,0.07731959,0.02448454,0.00128866,0.13530928,,,,"Seth Brown",18171,664913
"Dansby Swanson","CHC",593,0.27261146,,0.07898089,0.03057325,,0.17070064,0.29044586,0.06072187,0.01019108,0.00127389,0.08450106,,,,"Dansby Swanson",18314,621020
"Kyle Tucker","HOU",339,0.37741456,,0.08023774,0.04680535,,0.12407132,0.20728083,0.06463596,0.01263001,,0.08692422,,,,"Kyle Tucker",18345,663656
"Daz Cameron","OAK",186,0.35804196,,0.06293706,0.02937063,,0.17202797,0.19160839,0.03636364,0.01258741,0.0013986,0.13566434,,,,"Daz Cameron",18353,663662
"Austin Riley","ATL",469,0.34961581,,0.09110867,0.01920966,0.00109769,0.1712404,0.23655324,0.0532382,0.01427003,,0.06201976,,0.00164654,,"Austin Riley",18360,663586
"Victor Robles","- - -",295,0.27897839,,0.08939096,0.01571709,,0.1611002,0.31630648,0.03732809,0.00982318,,0.0913556,,,,"Victor Robles",18363,645302
"Ryan Mountcastle","BAL",507,0.31457128,,0.07574961,0.0215676,,0.17306681,0.26512362,0.0568122,0.00736454,,0.08521831,,0.00052604,,"Ryan Mountcastle",18373,663624
"Juan Yepez","WSN",249,0.26915114,,0.05486542,0.02070393,,0.21532091,0.24120083,0.0610766,0.01966874,,0.11490683,,0.00310559,,"Juan Yepez",18400,660766
"Ronald Acuña Jr.","ATL",222,0.38895028,,0.07071823,0.02651934,,0.18895028,0.19337017,0.03535912,0.01104972,,0.08066298,,0.00441989,,"Ronald Acuna Jr.",18401,660670
"Ali Sánchez","MIA",96,0.27810651,,0.06508876,0.03550296,,0.24260355,0.22781065,0.09171598,,,0.0591716,,,,"Ali Sanchez",18551,645305
"Trent Grisham","NYY",209,0.36299766,,0.1498829,0.03629977,,0.12529274,0.16276347,0.06557377,0.00819672,,0.08899297,,,,"Trent Grisham",18564,663757
"Luis Arraez","- - -",672,0.37293046,,0.07740066,0.02980132,,0.19412252,0.16100993,0.0682947,0.01365894,0.00165563,0.08071192,0.00041391,,,"Luis Arraez",18568,650333
"Ke'Bryan Hayes","PIT",396,0.26734694,,0.06734694,0.01904762,,0.24285714,0.26054422,0.03877551,0.01292517,,0.09115646,,,,"Ke'Bryan Hayes",18577,663647
"Jared Walsh","TEX",60,0.41984733,,0.07251908,0.01908397,,0.10687023,0.1221374,0.06870229,0.02671756,,0.16412214,,,,"Jared Walsh",18607,665120
"Ramón Urías","BAL",301,0.30956522,,0.06782609,0.01478261,,0.20086957,0.28,0.05130435,0.01304348,0.00086957,0.06173913,,,,"Ramon Urias",18795,602104
"Andy Ibáñez","DET",244,0.34451902,,0.07606264,0.01006711,,0.14876957,0.19910515,0.08165548,0.01118568,0.0033557,0.12416107,0.00111857,,,"Andy Ibanez",18819,628451
"José Azocar","SDP",79,0.40206186,,0.05498282,0.02749141,0.00687285,0.10309278,0.22680412,0.04467354,0.01718213,,0.11683849,,,,"Jose Azocar",18821,640492
"Josh Naylor","CLE",633,0.27189142,,0.08581436,0.04553415,,0.12171629,0.191331,0.08056042,0.02977233,0.00262697,0.16725044,,0.00350263,,"Josh Naylor",18839,647304
