Name,Team,IP,botOvr FA,botOvr SI,botOvr FC,botOvr FS,botOvr SL,botOvr CU,botOvr CH,botOvr KC,botOvr,botStf,botCmd,botxRV100,botERA,NameASCII,PlayerId,MLBAMID
"Hayden Birdsong","SFG",72,39.1121114378029,,,,45.113431764705894,39.83681065637065,59.70240564705882,,40.24160159221902,55.211419185878974,33.816404157060525,0.7316641642651297,5.174588523054755,"Hayden Birdsong",31635,806185
"Anthony Molina","COL",59.2,43.80295685545813,,,,45.81127727108628,46.38174640625,46.72113669493493,68.26,40.331431862037974,33.581092904078915,48.9919526455303,0.7260838114690271,5.166218002894586,"Anthony Molina",26952,683627
"Scott McGough","ARI",32.2,51.6371753053435,35.57398590909092,,34.57474184971099,51.33845789473683,,,80,40.335792439446365,36.54927700692042,49.003223200692034,0.7258122837370242,5.165810588235294,"Scott McGough",12056,543518
"Valente Bellozo","MIA",68.2,37.42830652811736,,53.69290743682311,,50.30629451327433,41.532668978102194,42.89225164556962,,40.7392586849315,32.54127077625571,52.46380322374429,0.7007466940639269,5.128211808219179,"Valente Bellozo",23899,678368
"Griffin Canning","LAA",171.2,34.948533744207595,20.313696785714285,,,46.41632529753265,47.47941185064935,55.91659805228759,,40.74429059888579,46.1871655466574,46.7384098850975,0.7004334993036213,5.127742106545961,"Griffin Canning",19867,656288
"Javier Assad","CHC",147,44.51132497512438,40.78148884233738,47.2479108226691,,32.7720732103321,41.3200256462585,32.908404017094014,,40.74655933806146,39.15742276201733,48.76888537037038,0.70029365642238,5.127533096926714,"Javier Assad",21741,665871
"Adam Mazur","SDP",33.2,44.732922401746734,26.873155217391304,,,48.242516294416234,59.20524567567568,20.22442316666667,,40.87652502564102,43.84070011965812,44.76286565811966,0.6922199658119658,5.115421743589744,"Adam Mazur",31900,800049
"Colin Poche","TBR",37.1,40.03499556756757,,,,49.12856485549133,,,,40.900474677716396,46.8709685451197,42.00784075506446,0.6907315837937386,5.113190626151012,"Colin Poche",19403,621363
"Michael Lorenzen","- - -",130.1,42.11298237676056,41.40600085972851,42.48290354066986,,47.651991858974355,41.47272298780488,46.28805585241731,,41.08106510272337,41.85120698518872,47.63613215957956,0.6795113139034878,5.096359307214526,"Michael Lorenzen",14843,547179
"Jalen Beeks","- - -",70,50.8509472072779,20,45.556157639144345,,70.53994,53.18961916666666,35.3316285797456,,41.264550424070286,47.86903387298111,40.52164820235889,0.6681122599350101,5.079260687519557,"Jalen Beeks",17192,656222
"Marcus Stroman","NYY",154.2,27.83290902255639,41.66441516613076,50.85514569072164,35.83935197278912,35.746510336927216,49.64509664383561,,,41.59325456896553,38.165312290104936,39.484659827586206,0.6476916979010495,5.048631049475263,"Marcus Stroman",13431,573186
"Cal Quantrill","COL",148.1,,35.81437483050848,50.432458511235964,46.513808144208035,,53.04761644578314,58.16573319148936,,41.610321742911154,40.170915829867674,43.64719928922495,0.6466302646502836,5.04703834026465,"Cal Quantrill",19312,615698
"Wandy Peralta","SDP",38.1,39.3502941509434,38.00764842975206,,,43.329927258064515,,52.10273674509804,,41.7617556655844,48.6429635064935,42.91234222402599,0.637222191558442,5.032926152597403,"Wandy Peralta",14295,593974
"Huascar Brazobán","- - -",51.2,38.48433989795919,40.56092090497738,36.85703799107143,,,,55.7593726744186,,41.87416550387596,53.24217933554818,32.1153830786268,0.6302398338870433,5.022451738648948,"Huascar Brazoban",6107,623211
