Name,Team,PA,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Willson Contreras","STL",358,9.035412156438253,,4.569730585271662,2.745136413574219,,5.2214820819665055,0.9067922192950582,-5.051187282655297,-3.570433876731179,,3.648049337822094,-1.1797462701797485,1.155097246170044,"Willson Contreras",11609,575929
"Mickey Moniak","LAA",418,9.106792577357563,,5.486438611998175,1.5852694668612637,,3.9147195621412627,1.3104707766801884,-5.501926136665603,-5.33537341702369,,3.7967414303102354,,1.1449672381083171,"Mickey Moniak",19956,666160
"Santiago Espinal","CIN",391,9.126022778420781,,4.569208690098354,3.22901611328125,,5.198449423146802,0.8965921138531595,-5.141084114007191,-3.96155907126034,7.128102620442708,4.166389675315367,,1.0790348052978516,"Santiago Espinal",19997,669289
"Jason Heyward","- - -",258,8.816511593476676,,4.207339873680701,1.9871415032280817,-1.272974395751953,3.8853750302810077,0.6133974210812094,-4.604235985699822,-7.216639110020229,8.910839080810547,3.488625133738798,,1.071988582611084,"Jason Heyward",4940,518792
"Jung Hoo Lee","SFG",158,9.361920038859049,,5.014389701511549,2.770386060078939,,4.227103284610215,1.0571597770408347,-3.575639423571135,-7.434482574462891,,3.191202192164179,,1.055146853129069,"Jung Hoo Lee",33824,808982
"Jorge Mateo","BAL",208,9.324939058027194,,4.402301432291667,1.6106038093566895,,4.206094334268163,0.8491772871751052,-5.35793202718099,-4.331715265909831,,3.8992761818759414,,0.916313886642456,"Jorge Mateo",17273,622761
"Nick Fortes","MIA",335,9.525819131406712,,5.542281929103807,3.871718542916434,,4.494579156839623,1.5460790685705237,-5.345709906684028,-5.16986083984375,,3.6311757940995064,,0.7307594418525696,"Nick Fortes",21538,663743
"Josh Lowe","TBR",387,9.123556710261036,,5.117792582340377,1.2910149615743887,,3.8523425841599366,0.8823974818399508,-4.863655138315645,-5.43029294695173,,3.388727284796227,,0.5663412809371948,"Josh Lowe",19953,666139
"Kevin Kiermaier","- - -",281,9.058102068462743,,4.611318984834274,0.488360595703125,,3.6204470335132015,0.9634820386237904,-5.22403310139974,-5.361042785644531,8.252860069274902,2.933709594438661,,0.46209293603897095,"Kevin Kiermaier",11038,595281
"Jarren Duran","BOS",735,9.29065255600572,,5.387615847120098,1.298155680741414,,3.934475776844455,1.0135358964880532,-5.1483054873091065,-5.603816138373481,5.677203178405762,3.147793267697704,-1.934752106666565,0.3988797068595886,"Jarren Duran",24617,680776
